Date,Patient_Inflow,Outpatients,Emergency_Cases,Bed_Occupancy_Rate,Staff_on_Duty,Daily_Revenue,Medicine_Expenses,Surgery_Count,Operating_Theater_Utilization,Patient_Satisfaction_Score
2023-01-01,116,74,30,76.05560356368845,54,22137.70183295776,5570.547211512543,15,80.80632847028383,4.045020362171177
2023-01-02,128,64,24,90.20297299974752,69,20363.254257046625,7821.870746932002,29,82.28622149459531,3.1092688400019446
2023-01-03,107,83,21,99.09736138321811,57,48695.041948984406,7617.0568373590595,14,54.80828916482305,4.946156325944665
2023-01-04,123,79,26,72.81702147368256,61,42125.25078377021,7469.787990719999,12,60.623313318344245,3.4522506624993436
2023-01-05,132,82,26,90.17806354675379,50,30597.542255061926,14062.545805210368,18,50.70209453466516,3.6083974392725615
2023-01-06,109,59,34,83.31250657913714,69,28896.067438629656,7495.4619984950605,19,61.732344431222586,3.607885024510055
2023-01-07,113,79,31,96.04426763132517,55,30491.096892375484,7719.497261286309,20,80.92567495674686,3.4608333242346996
2023-01-08,118,74,34,75.31449368342157,67,43239.60593543545,12593.982624179636,17,70.71842110850315,3.0029476441726226
2023-01-09,124,79,31,90.77877856678494,57,39841.11833211243,9497.3984245054,9,63.92382372673153,4.458689588175993
2023-01-10,113,82,30,95.1434586894433,56,25555.86703602404,12767.105569551812,13,64.86957179625321,4.9336909995985705
2023-01-11,119,85,27,98.3384265842207,50,25223.28006002253,5653.661575643852,12,50.05414502861873,3.4485869665700903
2023-01-12,109,75,22,90.49744084868938,65,22951.869491401918,9875.711936733842,18,61.992021102609435,4.326094383606845
2023-01-13,123,85,34,84.91524292025282,61,39809.08159104014,5336.136001832826,17,75.85834966551722,4.48379265391743
2023-01-14,123,94,33,88.53541720603641,55,42931.17986665208,5626.532034553546,21,88.96777775265429,4.69685075818105
2023-01-15,113,100,26,96.06714953436155,69,27951.392849750122,14064.37453344411,8,83.88243307935598,3.8452583940272183
2023-01-16,126,83,35,87.11829239916489,51,20628.348830927385,6392.453711175952,19,50.94379858582116,3.6058618112808585
2023-01-17,105,97,26,70.91161179090511,63,22465.15002429282,10324.20682275217,20,85.94242418699358,3.650590268046062
2023-01-18,112,59,28,97.92846086520933,53,49035.80104535091,9110.956026007065,16,81.32793653194504,4.425242666197025
2023-01-19,114,77,39,90.68580253094683,50,28863.34332432261,8473.433262588427,17,81.21504494283921,4.6335589330112725
2023-01-20,121,82,42,90.29540157331739,67,43076.694435144,13998.333456872724,20,68.31983036014286,3.3632279355132053
2023-01-21,123,90,24,76.47025457193152,62,38739.907065627915,5218.233967754895,15,65.92021171818011,3.7418820163155306
2023-01-22,102,78,37,89.76656410697971,51,31458.189189586876,11637.896861755891,13,62.11662915332771,4.8038803934983
2023-01-23,94,91,35,81.81593216962476,58,26170.617865866654,14633.944342135504,18,52.62779435817463,4.613387039389479
2023-01-24,116,79,33,89.53698931124477,51,23641.592544782194,10601.681834618419,21,59.12941453974796,4.969716805524952
2023-01-25,132,101,26,73.19779090923973,58,38450.389041165996,14368.224620330919,16,59.864145399120986,4.5084965193641615
2023-01-26,113,72,41,89.73535913809108,50,43239.01341913364,5522.578792860238,16,69.36308278840806,3.7863904020558445
2023-01-27,106,83,24,99.98241177311999,60,39317.12760623392,9187.933190741613,12,79.89777626386775,4.181275667989276
2023-01-28,129,67,39,71.44636116581668,52,35909.06399747475,7601.5779096205115,9,68.95239313591787,4.322028508494641
2023-01-29,127,80,33,99.31522552663952,69,21258.536702949088,12308.209649807297,15,52.313777977886424,3.156911632634248
2023-01-30,129,80,41,82.20723882168612,53,49054.66332783151,14812.970904972466,24,88.31159203952816,4.088993918207731
2023-01-31,115,81,27,96.12260351011777,67,43961.42574963724,7565.300624442478,18,87.70897276376449,4.418641656945219
2023-02-01,134,92,25,93.4715645217482,55,28784.66110102894,11541.746014740744,17,81.40758172593634,3.3346426080021208
2023-02-02,114,68,20,87.01048782960004,52,49399.10988076552,6980.976327597401,12,89.65311606256881,4.5612634348511145
2023-02-03,114,87,27,92.1534762775398,60,38056.44768908966,10653.302545716098,15,71.77929331201051,4.1675455610282235
2023-02-04,128,85,19,96.35546683904043,64,37472.67974621739,9639.324866883362,10,88.51073401012825,4.9044435713951895
2023-02-05,136,69,31,82.124209649531,54,42442.19538288596,14720.053296315371,27,53.02420162467003,3.0848445964137836
2023-02-06,105,76,27,79.81099484689716,69,44353.09364270413,11085.272726964666,15,64.62722993045486,3.530652275110934
2023-02-07,129,77,38,90.02780156690754,59,39694.358219945076,8495.063720868187,16,59.01525072027063,4.203107758599648
2023-02-08,129,94,25,94.23537825823776,61,23842.872390986002,6140.957848879334,11,57.8333233653708,3.593119824411861
2023-02-09,121,80,37,92.86855404329847,64,30148.025179834953,6512.468287349346,11,55.632117955707045,4.428848328142484
2023-02-10,114,77,37,93.93440946575903,66,47842.50920978149,7253.16929951235,9,74.89654566263987,4.518010565043862
2023-02-11,137,80,41,83.06749944438799,59,26738.468355315556,7509.66661340298,19,81.2528742298922,3.205031928132949
2023-02-12,117,79,35,94.53502648525065,55,31165.010715125398,13506.160578411378,15,73.13193597681442,4.027708928413535
2023-02-13,111,80,30,73.60627166111826,67,32962.30648832588,10612.22788282525,22,55.878508383528384,4.017781111182112
2023-02-14,113,83,35,86.33467293882549,62,33182.14969083357,10233.909113743664,9,82.44495079733883,3.738561540431082
2023-02-15,140,64,29,70.17275981494365,52,38388.187474835766,6147.688718692175,9,75.43818828654913,4.865849725139344
2023-02-16,124,68,25,79.7375748970081,59,48292.27513234122,13601.39693349435,15,65.52662824507982,4.655012639746443
2023-02-17,131,69,28,80.99384604614194,63,27220.781354975148,12228.143032084838,15,76.96521182144252,4.3944187638192735
2023-02-18,136,71,26,81.88518074827766,55,23645.04128902754,5676.683619000016,12,60.39619916971331,4.4286532714699955
2023-02-19,114,93,16,90.86401620069586,52,25924.11469579812,12078.350972297687,14,63.80768833976842,3.9234322876262384
2023-02-20,111,84,28,81.65674303811038,65,46607.747006278085,10435.38217342646,21,86.69943372527962,4.841989042193152
2023-02-21,131,71,35,83.46080867867592,56,39374.32437965618,5817.253457467783,16,61.62018022685682,4.3891908545065705
2023-02-22,117,70,29,77.12632392622983,69,28577.203677174803,9583.006415286563,19,68.79953072631747,4.457962123311633
2023-02-23,105,70,41,81.19755374888021,63,44478.408169058515,9846.96287130047,17,85.60564549584058,4.7233818075746905
2023-02-24,143,68,32,76.81808881789455,58,45841.09989090308,6657.745401632757,12,78.3088540107011,3.548143178684382
2023-02-25,121,72,41,72.1958777130533,64,45395.43016070834,14456.981470002824,16,52.488129046588114,4.6141418077334055
2023-02-26,116,80,32,88.10345780144134,52,47567.79600918663,13499.753714806619,9,55.89212177115881,3.390481205912984
2023-02-27,149,83,25,90.04638395665049,51,27567.23060520085,11690.223373291083,14,50.313663630876675,3.6906839044897755
2023-02-28,120,62,25,88.58471038028844,51,42651.257862388346,9622.955610006073,10,75.23687160916654,3.671220908539685
2023-03-01,113,89,35,83.90482131401717,52,33816.1849182242,9117.655415845085,18,67.90693701641673,4.957050936778281
2023-03-02,123,71,28,81.3935734053769,67,45259.95658670185,11509.734671509541,8,55.37099403609102,4.7130744474958535
2023-03-03,96,77,33,95.90000948715476,63,41854.7203148484,10454.318694069054,23,88.31736484227082,4.4023397231805195
2023-03-04,137,83,36,85.57245355408654,69,43293.42339499174,5622.731058818856,17,71.18638895782479,4.45411352323078
2023-03-05,107,79,25,84.37545632889193,67,39684.855130432145,10125.026487703317,16,59.67573176451557,4.124145588805142
